key,en,ja
saltySynergyTier4,10% Boost,防御力が10%増加
saltySynergyTier6,20% Boost,防御力が20%増加

sourSynergyDesc,A random enemy has their HP reduced.,ランダムな敵の体力が減少します。
sourSynergyTier2,25% decrease,体力25%減少
sourSynergyTier4,50% decrease,体力50%減少
sourSynergyTier6,50% decrease and half attack speed,体力50%減少、攻撃速度50%減少

sweetSynergyDesc,Units of this synergy get healed a percentage of max hp every tick.,このシナジーのユニットは、毎ティックごとに最大体力の一定割合が回復します。
sweetSynergyTier2,2% Heal,体力の2%が回復
sweetSynergyTier4,4% Heal,体力の4%が回復
sweetSynergyTier6,10% Heal,体力の10%が回復

symbolSynergyDesc,Units of this synergy have increased attack speed based on how many unit types are in play,このシナジーのユニットは、プレイ中のユニットタイプの数に応じて攻撃速度が上昇します。
symbolSynergyTier2,+0.05 per,種ごとに+0.05
symbolSynergyTier4,+0.1 per,種ごとに+0.1
symbolSynergyTier6,+0.15 per,種ごとに+0.15

umamiSynergyDesc,A percentage of damage dealt by units of this synergy are true damage.,このシナジーを持つユニットが与えるダメージの割合は、貫通ダメージです。
umamiSynergyTier2,10% True damage,10% 貫通ダメージ
umamiSynergyTier4,20% True damage,20% 貫通ダメージ
umamiSynergyTier6,25% True damage,25% 貫通ダメージ

bitterSynergyDesc,Units of this synergy jump to enemies and have increase crit chance.,このシナジーを持つユニットは敵に向かってジャンプし、クリティカル確率が増加します。
bitterSynergyTier2,Jump to enemy,敵に飛びつく
bitterSynergyTier4,5% Boost,クリティカル確率5%増加
bitterSynergyTier6,10% Boost,クリティカル確率10%増加

current_wave,Current Wave: ,現在の波 : 

cutlery,cutlery,刃物
cutlery_bossDesc,A 3 in 1 combo! Prepare for mass destruction!,3 in 1コンボ！大量破壊に備えよ！
cutlery_desc,"Every 10 ticks, instantly kill an enemy.",10ティックごとに敵を即座に殺します。

rolling_pin,rolling_pin,麺棒
rolling_pin_bossDesc,Half of your team shall return to dough...,あなたのチームの半分は生地に戻ります...
rolling_pin_desc,"On first tick, Half of the enemy team turns into dough",最初のティックで敵チームの半分がパンに変わる


whisk,whisk,泡立て器
whisk_bossDesc,"Get moving, Get groving, its shuffling time!","動いて、動いて、シャッフルの時間だよ！"
whisk_desc,"Every tick, all enemies shuffle",すべての敵は毎ティックごとにシャッフルします

oven,oven,オーブン
oven_bossDesc,"Don't let the heat cloud your mind, a unit each tick will get burnt alongside those in line.",暑さで気が曇らないようにしてください。1 ティックごとに 1 ユニットが、列に並んでいる人とともに焼かれます。
oven_desc,Doesn't move. A random enemy's row is engulfed in flames.,移動しません。ランダムな敵の列が炎に包まれます。

fridge,fridge,冷蔵庫
fridge_bossDesc,"Brrr... So chilly! Each tick, half your team will be FROZEN.",ぶるぶる…寒い！ティックごとに、チームの半分が凍り付いてしまいます。
fridge_desc,"Doesn't move. At the start of every tick, half of the enemy team becomes frozen.",動きません。毎ティックの開始時に、敵チームの半分が凍結します。

blender,blender,ブレンダー
blender_bossDesc,"The blades spin quickly! When this gets hit, the whole board gets shuffled. Any units near the blender after this gets hit!",ブレードが高速回転！これがヒットすると、盤面全体がシャッフルされます。その後、ブレンダーの近くにあるユニットはすべてヒットします！
blender_desc,"Doesn't move. When this gets hit, all unit's positions get randomized. Every unit takes some damage.",移動しません。この攻撃を受けると、全ユニットの位置がランダムに変更されます。全ユニットがダメージを受けます。

fork,fork,フォーク
fork_desc,"When this attacks, it hits all enemies around itself.",この攻撃は周囲の敵全員に命中します。

spoon,spoon,スプーン
spoon_desc,"When this attacks, swaps positions with the enemy",攻撃時に敵と位置を入れ替える

plate_pile,plate_pile,皿の山
plate_pile_bossDesc,"A stack of plates to the skies above. When the pile gets hit twice, the pile will crumble a bit and spawn a plate enemy.",空高く舞い上がるプレートの山。2回攻撃を受けると、少し崩れてプレート型の敵が出現します。
plate_pile_desc,"Doesn't move. Every 2 times this gets hit, spawn a plate.",動きません。2回攻撃されるごとにプレートを生成します。

trash_can,trash_can,ごみ箱
trash_can_bossDesc,"30% of your team will betray you, when any enemy gets a kill they all benefit! Stop the rottening quick!",チームの30%が離反します。敵がキルを獲得すると、敵に利益がもたらされます！速やかに腐敗を止めてください！
trash_can_desc,"Doesn't move. 30% of the enemy team turn into allies. Whenever an ally gets a kill, heal team by 100 and buff every ally",移動しません。敵チームの30%が味方チームに転向します。味方がキルを達成するたびに、チームの体力を100回復し、味方全体にバフを付与します。


kettle,kettle,ケトル
kettle_bossDesc,"All our food keeps blowing up! Every 5 ticks, a random ally blows up and the kettle heals from it.",食べ物が次々と爆発！5ティックごとにランダムな味方が爆発し、ケトルがそのエネルギーを吸収する！
kettle_desc,"Doesn't move. Every 5 ticks, kill a random enemy and heal double its HP",動かない。5ティックごとにランダムな敵を倒し、そのHPを2倍回復する。

echo,echo,残響
echo_bossDesc,Don't be too loud... The boss will turn into a random unit with 3 times stats.,あまり大声を出さないでください...ボスは3倍のステータスを持つランダムなユニットに変わります。
echo_desc,Will turn into a random enemy with 3 times the HP and ATTACK,ランダムにHPと攻撃力が3倍の敵に変身する

bossFlavorTextIntro,Oh no! A boss!,やばい！ボスだ！

QUOTE_START,',「
QUOTE_END,',」

GAMEOVERTEXT,"TRY AGAIN|TRY AGAIN|TRY AGAIN| Make sure to place your units strategically!|Make sure to use synergy buffs to their fullest!|In life, we are always learning.|The cycle of losses should not be interpreted as a treadmill, but as a wheel. You move forward with each repetition.|YOUR LOSS HERE IS ALL BUT GUARANTEED|Try again and make burnt toast proud!!",もう一度やり直してください|もう一度やり直してください|もう一度やり直してください|人生において、私たちは常に学び続けている
FINALROUND, Final Round: ,最終ラウンド: 
STRONGESTSYNERGY, Strongest Synergy: ,最強のシナジー:
NONE,NONE.,なし
GAMEMODE,Gamemode: ,ゲームモード: 

GAMEOVER,GAME OVER, ゲームオーバー

ABILITY,[b]ABILITY[/b],[color=#FFCC00]魔法[/color]

pepper,pepper,胡椒
pepper_desc,"Every time this unit attacks, it's attack speed increases by 2%",このユニットが攻撃するたびに、攻撃速度が2%増加します。

chicken_wing,chicken_wing,手羽先
chicken_wing_desc,"{ABILITY}: Attacks the enemy, adding the  defense to damage.","{ABILITY}: 敵を攻撃し、ダメージに防御力を加えます。"

cake,cake,ケーキ
cake_desc,{ABILITY}: Heals all neighboring allies by 15,{ABILITY}: 隣接する味方全員を15回復する

bbq,bbq,バーベキュー
bbq_desc,This unit's damage is proportional to the unit's hp. 100% HP = 200% Attack,このユニットのダメージはユニットの体力に比例します。体力100%は攻撃力200%に相当します。

pineapple,pineapple,パイナップル
pineapple_desc,Any enemies that attack this unit lose 5% of their attack speed,このユニットを攻撃する敵は攻撃速度が5%低下する

chocolate,chocolate,チョコレート
chocolate_desc,{ABILITY}: Increase crit chance  all neighboring allies by 10%,{ABILITY}: 隣接する味方全員のクリティカル確率を10増加

bacon,bacon,ベーコン
bacon_desc,{ABILITY}: Heal all allies by their attack + defense,{ABILITY}: 攻撃力と防御力に基づいて味方全員を回復します。

caramel_cube,caramel_cube,キャラメルキューブ
caramel_cube_desc,{ABILITY}: Heals all neighboring allies by 2x their defense,{ABILITY}: 周囲の味方の体力を防御力の2倍回復する

kimchi,kimchi,キムチ
kimchi_desc,{ABILITY}: Decrease the attack of every enemy by 3,{ABILITY}: 敵の攻撃力を3減少させる

sauce,hot_sauce,ホットソース
sauce_desc,Wants to see the world burn.,世界が燃え尽きるのを見たい

salt_and_pepper,salt_and_pepper,塩とコショウ
salt_and_pepper_desc,{ABILITY}: This unit's attack and defense swap,{ABILITY}: このユニットの攻撃と防御を入れ替える

sour_belt,sour_belt,サワーグミ
sour_belt_desc,"Every enemy this unit attacks, target looses 3 spell mana",このユニットが攻撃する敵ごとに、ターゲットは 3 スペル マナを失います。

citrus,citrus,柑橘類
citrus_desc,{ABILITY}: Target can no longer crit,{ABILITY}: 対象はクリティカルヒットを実行できない

onion,onion,タマネギ
onion_desc,"When this attacks, heal 3% of the enemies defense",攻撃時、敵の防御力の3%分HPを回復する。

pickle,pickle,ピクルス
pickle_desc,{ABILITY}: This unit's target loses 7 defense,{ABILITY}: このユニットのターゲットは防御力を7失う

coffee,coffee,コーヒー
coffee_desc,"When this unit jumps, Increase crit chance by 10%",このユニットがジャンプすると、クリティカル率が10%上昇します。

mushroom,mushroom,キノコ
mushroom_desc,A fun guy.,それはキノコです

blue_cheese,blue_cheese,ブルーチーズ
blue_cheese_desc,"When this unit dies, spawn a mini cheese where it died.",このユニットが死亡した場合、死亡した場所にミニチーズを生成します。

walnut,walnut,クルミ
walnut_desc,"When this unit attacks, it deals all its true damage again in another attack.",このユニットが攻撃する場合、貫通ダメージをすべて別の攻撃で再度与えます。

fish,fish,魚
fish_desc,{ABILITY}: Attack the enemy with an attack that deals 3x damage,{ABILITY}: 対象に3倍のダメージを与える

salt_cube,salt_cube,塩キューブ
salt_cube_desc,"Every 3 ticks, gain 2 defense.",3ティックごとに、このユニットの防御力が2増加します

sweet_tooth,sweet_tooth,甘党
sweet_tooth_desc,"At the start of the round, if the sweet synergy is higher than 4 this gains a large buff.",ラウンド開始時にスイートシナジーが 4 つ以上ある場合、このユニットは大きな強化を受けます。

blueprint,blueprint,青写真
blueprint_desc,"Every tick, Allies in the same column as this unit have increased attack speed",毎ティック、このユニットと同じ列の味方の攻撃速度が上昇する

up_arrow,up_arrow,上矢印
up_arrow_desc,"On the second tick, if there has been a overall stat increase, this unit gains increased max hp",2回目のティックで、全体的なステータスが増加した場合、このユニットの最大HPが増加します。

fractal,fractal,フラクタル
fractal_desc,Every 10 ticks spawn another fractal somewhere on the board,10ティックごとにボード上のどこかに別のフラクタルが出現します

dice,dice,サイコロ
dice_desc,"Every tick, increase an ally's stats by random amounts ( can go down )",ティックごとに、味方のステータスをランダムな量だけ増加します（減少する場合もあります）。

down_arrow,down_arrow,下矢印
down_arrow_desc,"Every tick, If a negative stat changed happened on the team last tick, gain 5 max hp",毎ティック、前回のティックでチームにマイナスのステータス変化があった場合、最大HPが5増加します

rotting_coin,rotting_coin,腐った円
rotting_coin_desc,{ABILITY}: Attacks the enemy with attack times greed synergy level,{ABILITY}: 攻撃回数に応じてグリードシナジーレベルが上昇し、敵を攻撃する

masterpiece,masterpiece,完璧な芸術
masterpiece_desc,"When this attacks, freeze the enemy (excluding Bosses)",攻撃時に対象を凍結させる（ボスを除く）

rules_card,rules_card,ルールカード
rules_card_desc,"At the round start, the unit to the right of this has the same stats as the unit to the left.",ラウンド開始時、このユニットの右側のユニットは左側のユニットと同じステータスになります。

sculpture,sculpture,彫刻
sculpture_desc,"{ABILITY}: This unit strikes the enemy with 5 times their damage, then decreases their damage by 2",{ABILITY}: このユニットはターゲットに 5 倍のダメージを与え、その後ダメージを 2 軽減します。

gold,gold,金
gold_desc,{ABILITY}: Heal this unit by how many engrams you have.,{ABILITY}: 保有しているエングラムの数に応じてこのユニットを回復する

canvas,canvas,キャンバス
canvas_desc,"At the start of the round, turn into the unit to the left of this",ラウンド開始時、このユニットの左隣のユニットに変身する。

1st_place_medal,1st_place_medal,1位メダル
1st_place_medal_desc,"Every tick, allies surrounding this gain 5% crit chance",毎ティック、これを囲む味方は5%のクリティカル確率を得る

tax_form,tax_form,納税フォーム
tax_form_desc,"When this gets attacked, the attacker looses 1 defense.",これが攻撃されると、攻撃者は防御力を 1 失います。

museum,museum,博物館
museum_desc,"When this dies, spawn the last ally whos died here.",このユニットが死亡した場合、最後に死亡した味方として復活します。

poker_chip,poker_chip,ポーカーチップ
poker_chip_desc,"{ABILITY}: Flip a coin. If heads, double damage, if tails, half defense",{ABILITY}: コインを投げる。表ならダメージ2倍、裏なら防御力半分

reaper_pepper,reaper_pepper,死神ペッパー
reaper_pepper_desc,"Every time this unit attacks, it's damage increases by one, but its speed decreases",このユニットが攻撃するたびにダメージが1増加しますが、速度が低下します。

paint_bomb,paint_bomb,ペイントボム
paint_bomb_desc,"{ABILITY}: Hits the target, but also hits any enemies surrounding the target",{ABILITY}: ターゲットに命中するが、ターゲットの周囲の敵にも命中する

exclamation_point,!,!
exclamation_point_desc,"When this unit gets hit, It jumps to its starting position and gains 1 defense.",このユニットが攻撃を受けると、開始位置に戻り、防御力が 1 増加します。

snowball,snowball,雪だるま
snowball_desc,"This unit's crit chance will go up every attack. Once it crits, it resets to 10%",このユニットのクリティカル率は攻撃ごとに上昇します。一度クリティカルが発生すると、10%にリセットされます。

dusty_book,dusty_book,古書
dusty_book_desc,{ABILITY}: Allies in the same column as this unit gain 1 defense and attack,{ABILITY}: このユニットと同じ列の味方は防御力と攻撃力が1増加する

4th_place_medal,4th_place_medal,4位メダル
4th_place_medal_desc,"Once this reaches 30% HP, It's defences increase by 7",HPが30%に達すると防御力が7増加する

controller,controller,コントローラ
controller_desc,"{ABILITY}: This unit becomes frozen for a tick, giving another unit a bonus action",{ABILITY}: このユニットは 1 ティックの間凍結され、別の味方にボーナス アクションを付与します。

cornucopia,cornucopia,豊穣の角
cornucopia_desc,"When this gets hit, equally distribute the hit between neighboring allies",これが攻撃を受けた場合、隣接する味方に均等にダメージを分配します

crown,crown,クラウン
crown_desc,"At the start of the round, this unit dies, passing its stats to the unit to the left",ラウンド開始時にこのユニットは死亡し、そのステータスを左隣のユニットに渡す。

point_token,point_token,ポイントトークン
point_token_desc,{ABILITY}: Strike the enemy with damage multiplied by the number of point tokens on the team,{ABILITY}: チームのポイントトークンの数に比例したダメージを敵に与える

investment_vault,investment_vault,投資金庫
investment_vault_desc,"At the start of the round, Kill a random ally, Then when this dies revive the ally with 1.5 times the defense.",ラウンド開始時にランダムな味方を倒す。このユニットが死亡した場合、その味方を防御力1.5倍で復活させる。

toolbox,toolbox,ツールボックス
toolbox_desc,"Every tick, Allies in the same row as this unit have increased attack speed",毎ティック、このユニットと同じ列の味方の攻撃速度が上昇する

anchor,anchor,アンカー
anchor_desc,{ABILITY}: Increase the range of this unit by 1,{ABILITY}: このユニットの射程を1増加

money_paper,dollar,紙幣
money_paper_desc,{ABILITY}: Attacks the target based on how many engrams you have.,{ABILITY}: 保有しているエングラムの数に応じてターゲットにダメージを与えます

brush,brush,ブラシf
brush_desc,{ABILITY}: Spawn a scribble somewhere on the board,{ABILITY}: ボード上のどこかに落書きを作成する

scribble,scribble,落書き
scribble_desc,A amalgamation of lines. It is both nothing and everything at the same time.,線の融合。それは同時に無であり、同時に全てでもある。

dough,dough,生地
dough_desc,The unbaked. The unedible. To be forcefully returned to your roots.,焼かれていないもの。食べられないもの。強制的に原点に戻される。

modified_card,modified_card,編集されたカード
modified_card_desc,"At the round start, the units to the left and right of this have averaged stats.",ラウンド開始時、このユニットの左右のユニットは平均ステータスを持ちます。

chess_piece,chess_piece,チェスの駒
chess_piece_desc,{ABILITY}: Does 2 additional ticks,{ABILITY}: 2つの追加ティックを実行します


tut1,Howdy! Im Burnt Toast! I will be your tutorial fella! Press {SELECT_CONTROL} to continue!,やあ！焦げたトーストだよ！チュートリアル担当するよ！{SELECT_CONTROL}キーを押して続けてね！
tut2,Welcome to Engrams of Chaos.,Engrams of Chaos へようこそ。
tut3,So. Goal of the game is simple. Make a team to survive as many battles as possible to beat your highscore.,ゲームの目的はシンプルです。チームを組んで、できるだけ多くの戦闘を生き残り、ハイスコアを更新することです。
tut4,When your team dies, your run ends. Simple enough right?,チームが全滅すると、ランも終了します。とてもシンプルですよね？
tut5,"During battles, your team fights automatically. So, it is your job to prepare them beforehand!",戦闘中は、チームは自動的に戦闘を行います。そのため、事前にチームを準備しておくことが重要です。
tut6,Lets start the first battle!,最初の戦いを始めよう！
tut7,So you see this pretty START button here. See how its glowing? That means its selected!,ここに可愛いスタートボタンがありますね。光っているのが分かりますか？選択されているってことですね！
tut8,"After I stop talking, Press {SELECT_CONTROL} to START the fight!",私が話すのをやめたら、{SELECT_CONTROL} を押して戦闘を開始してください。
tut9,"Pause, Pause! Let me explain whats going on a bit.",ちょっと待って！何が起こっているのか少し説明させてください。
tut10,Engrams of Chaos works with a tick-based system.,Engrams of Chaos はティックベースのシステムで動作します。
tut11,"This is the metronome, which shows when ticks happen.",これはメトロノームで、カチカチという音が鳴るタイミングを示します。
tut12,"Every tick, each unit can either move or attack, they only attack when close to an enemy.",毎ティックごとに、各ユニットは移動または攻撃することができ、敵に近づいた場合にのみ攻撃します。
tut13,"As you can see here, your unit moved.",ご覧のとおり、ユニットは移動しました。
tut14,Press {SELECT_CONTROL} to resume the fight after this message.,このメッセージの後、{SELECT_CONTROL} キーを押して戦闘を再開してください。
tut15,Did you see that? Your unit just attacked!,見たか？部隊が攻撃したぞ！
tut16,"Since the enemy was in range of your unit, it attacked instead of moving.",敵はあなたのユニットの射程内にいたので、移動するのではなく攻撃しました。
tut17,"Now, show them whos boss!",さあ、誰がボスか見せつけてやりましょう!
tut18,"What a great battle, you showed them whos boss alright!",素晴らしい戦いでした、誰がボスかを彼らに示しましたね！
tut19,Did you see those circle thingies that appeared on your screen?,画面に表示された円形のものを見ましたか?
tut20,"Those are ENGRAMS, which you get by surviving the round.",それらはラウンドを生き残ることで獲得できるエングラムでした。
tut21,ENGRAMS can be used for CRAFTING new units!!,エングラムは新しいユニットの作成に使用できます!!
tut22,"You see the loop now, right? You beat up guys, get engrams, make a better team, and repeat!",ループの仕組みが分かりましたか？ 敵を倒してエングラムを集め、より良いチームを作り、それを繰り返すんです！
tut23,"Anywhom, lets craft your first unit!",とにかく、最初のユニットを作りましょう！
tut24,"After this message, Press {DOWN_CONTROL} to switch to your CRAFTING button!",このメッセージの後、{DOWN_CONTROL} キーを押してクラフト ボタンに切り替えます。
tut25,Now use {SELECT_CONTROL} to press the CRAFTING button after this message!,このメッセージの後に、{SELECT_CONTROL} キーを使用して作成ボタンを押してください。
tut26,Wow! It's dark in here!,わあ！ここは暗いですね！
tut27,Anyways welcome to the crafting ui.,とにかく、クラフトインターフェースへようこそ。
tut28,You see these two circle slots?,これら 2 つの円形のスロットが見えますか?
tut29,"Select the two ENGRAMS you wanna use using {LEFT_CONTROL}, {RIGHT_CONTROL}, and {SELECT_CONTROL}!","{LEFT_CONTROL}、{RIGHT_CONTROL}、{SELECT_CONTROL}を使用して、使用したい2つのエングラムを選択してください。"
tut30,Wow! What a unique fella you just crafted!,わあ！すごくユニークなやつができましたね！
